days_ahead,n_forecasts,rmse,sample
154,16,0.20988091861815505,Starting in 2001
155,16,0.22219431248346655,Starting in 2001
158,14,0.17015224275420635,Starting in 2001
159,15,0.20586808073780397,Starting in 2001
160,14,0.21218253597181083,Starting in 2001
161,15,0.25085520391918165,Starting in 2001
162,15,0.2122223676555645,Starting in 2001
165,14,0.1539538428045431,Starting in 2001
166,16,0.24324627438051288,Starting in 2001
167,16,0.246503676443172,Starting in 2001
168,16,0.25424520644448845,Starting in 2001
169,15,0.234936161541812,Starting in 2001
172,15,0.217136669711345,Starting in 2001
173,14,0.2449161664150194,Starting in 2001
174,15,0.27424745516898924,Starting in 2001
175,14,0.24167939211159248,Starting in 2001
176,13,0.27022070751375077,Starting in 2001
179,12,0.20106487344469973,Starting in 2001
180,15,0.24103595858986143,Starting in 2001
181,15,0.24559451676832356,Starting in 2001
182,16,0.22547172771768964,Starting in 2001
183,13,0.2441114184453162,Starting in 2001
186,14,0.23933688152297591,Starting in 2001
187,15,0.28015769368934856,Starting in 2001
188,14,0.2942362995960907,Starting in 2001
189,15,0.2790997432221461,Starting in 2001
190,14,0.25410206048526773,Starting in 2001
193,15,0.223207676092617,Starting in 2001
194,13,0.21481655859396648,Starting in 2001
195,14,0.26403124815066964,Starting in 2001
196,16,0.2798269554564052,Starting in 2001
197,15,0.23178653972998733,Starting in 2001
200,15,0.21379507322044253,Starting in 2001
201,16,0.25560284133788647,Starting in 2001
202,16,0.25506126714967947,Starting in 2001
203,14,0.276705748817352,Starting in 2001
204,15,0.266886367829706,Starting in 2001
207,15,0.27350502737609605,Starting in 2001
208,14,0.26729464747994647,Starting in 2001
209,14,0.312798428932848,Starting in 2001
210,14,0.25840513595072795,Starting in 2001
211,14,0.27983094386228535,Starting in 2001
214,15,0.24635340468522146,Starting in 2001
215,15,0.23605790250134367,Starting in 2001
216,13,0.24029228996242147,Starting in 2001
217,15,0.24604538876665308,Starting in 2001
218,13,0.24381187577562788,Starting in 2001
221,14,0.2515487740266032,Starting in 2001
222,14,0.2790833208918084,Starting in 2001
223,14,0.2722656266012497,Starting in 2001
224,13,0.2751153604189732,Starting in 2001
225,14,0.27866710811084033,Starting in 2001
228,14,0.28131070773384076,Starting in 2001
229,13,0.24061219995925312,Starting in 2001
230,14,0.2907871091660425,Starting in 2001
231,16,0.2824253219879535,Starting in 2001
232,13,0.225316017389594,Starting in 2001
235,15,0.24004860618910898,Starting in 2001
236,16,0.2929057015491522,Starting in 2001
237,16,0.27287245188915776,Starting in 2001
238,16,0.2699044969984757,Starting in 2001
239,15,0.29042784531331434,Starting in 2001
242,16,0.26430332952878316,Starting in 2001
243,15,0.24738296896378004,Starting in 2001
244,15,0.3013276179398974,Starting in 2001
245,14,0.2633845640340926,Starting in 2001
246,15,0.27549349659595795,Starting in 2001
249,15,0.2497298540423233,Starting in 2001
250,15,0.2280752799698673,Starting in 2001
251,14,0.20663978319771867,Starting in 2001
252,15,0.23325951213187535,Starting in 2001
253,14,0.22216869394995342,Starting in 2001
256,14,0.21643210746757816,Starting in 2001
257,15,0.2442266706702339,Starting in 2001
258,15,0.2417540072056729,Starting in 2001
259,13,0.26941889032051686,Starting in 2001
260,16,0.24466175630858197,Starting in 2001
263,15,0.23965948065258447,Starting in 2001
264,16,0.27210407016433946,Starting in 2001
265,16,0.26945546941934545,Starting in 2001
266,16,0.2823672254352481,Starting in 2001
267,14,0.2831708217414252,Starting in 2001
270,16,0.3045257583522299,Starting in 2001
271,15,0.317700068198503,Starting in 2001
272,15,0.3239753077010666,Starting in 2001
273,15,0.3022498966087499,Starting in 2001
274,13,0.29844790809478683,Starting in 2001
277,15,0.33844004885159185,Starting in 2001
278,13,0.33842679017431887,Starting in 2001
279,15,0.3113385081654157,Starting in 2001
280,16,0.3078529478501064,Starting in 2001
281,15,0.3195569850068477,Starting in 2001
284,16,0.31224239382249225,Starting in 2001
285,15,0.32449447863818376,Starting in 2001
286,15,0.2835548153943666,Starting in 2001
287,16,0.2844347464709597,Starting in 2001
288,15,0.2974754891863648,Starting in 2001
291,15,0.28542366171476835,Starting in 2001
292,15,0.2933456436810788,Starting in 2001
293,14,0.3305055651141589,Starting in 2001
294,11,0.38120323856298666,Starting in 2001
295,14,0.3642457961322267,Starting in 2001
298,15,0.35653891793182946,Starting in 2001
299,15,0.3615268546963932,Starting in 2001
300,14,0.37326503414368506,Starting in 2001
301,15,0.38431324029581343,Starting in 2001
302,15,0.37719137494557453,Starting in 2001
305,15,0.3941531005417394,Starting in 2001
306,14,0.4097996025934061,Starting in 2001
307,14,0.4127218018402771,Starting in 2001
308,15,0.3895510236156479,Starting in 2001
309,14,0.38720841564054026,Starting in 2001
312,14,0.4355620342893599,Starting in 2001
313,14,0.4594056719595134,Starting in 2001
314,14,0.45497645150993504,Starting in 2001
315,15,0.4309234270726059,Starting in 2001
316,14,0.451973845640273,Starting in 2001
319,16,0.4262628297189423,Starting in 2001
320,14,0.4140220836070061,Starting in 2001
321,15,0.4417106896299131,Starting in 2001
322,16,0.4523048612385235,Starting in 2001
323,13,0.4333456605741676,Starting in 2001
326,15,0.4569007915656667,Starting in 2001
327,16,0.41373111739389296,Starting in 2001
328,14,0.4142570802912477,Starting in 2001
329,16,0.3792509063931164,Starting in 2001
330,15,0.32842046221269516,Starting in 2001
333,15,0.31022572427186046,Starting in 2001
334,15,0.30460630328343546,Starting in 2001
335,15,0.33038866001524236,Starting in 2001
336,14,0.3544286146139198,Starting in 2001
337,14,0.363379475008074,Starting in 2001
340,15,0.35089409608408445,Starting in 2001
341,15,0.36167895524438076,Starting in 2001
342,13,0.40079968140629135,Starting in 2001
343,13,0.4200366284394364,Starting in 2001
344,14,0.3752784680359758,Starting in 2001
347,14,0.40948355976068984,Starting in 2001
348,14,0.4216400800954023,Starting in 2001
349,13,0.4059035504989984,Starting in 2001
350,14,0.3588125256612829,Starting in 2001
351,14,0.3617911789179742,Starting in 2001
354,16,0.3890513301609451,Starting in 2001
355,15,0.42725675340868924,Starting in 2001
356,16,0.4322687242908053,Starting in 2001
357,16,0.43136773755115254,Starting in 2001
358,15,0.46142171600391774,Starting in 2001
361,15,0.44407018964723655,Starting in 2001
362,15,0.43766806295791427,Starting in 2001
363,14,0.4784648068861202,Starting in 2001
364,16,0.45680274736476756,Starting in 2001
365,15,0.464965948574015,Starting in 2001
368,15,0.4920298093950543,Starting in 2001
369,14,0.3888765871070146,Starting in 2001
370,16,0.41974880881307974,Starting in 2001
371,15,0.42800506227535695,Starting in 2001
372,15,0.39658962837337586,Starting in 2001
375,16,0.38921194418979593,Starting in 2001
376,16,0.40854352583292786,Starting in 2001
377,15,0.4107696029000513,Starting in 2001
378,13,0.3620082871979593,Starting in 2001
379,14,0.42047804427138097,Starting in 2001
382,14,0.43655714729820166,Starting in 2001
383,15,0.3982628947483479,Starting in 2001
384,13,0.394105608649801,Starting in 2001
385,14,0.4270914923727032,Starting in 2001
386,13,0.45216147558145736,Starting in 2001
389,15,0.43659859520311417,Starting in 2001
390,13,0.4630293228793974,Starting in 2001
391,14,0.4426664335914476,Starting in 2001
392,15,0.4393517952620654,Starting in 2001
393,14,0.4382778798890039,Starting in 2001
396,14,0.4608086835739352,Starting in 2001
397,14,0.47527999266597765,Starting in 2001
398,15,0.46031873015697855,Starting in 2001
399,15,0.450116651547129,Starting in 2001
400,16,0.47114886182606963,Starting in 2001
403,15,0.4733849737088546,Starting in 2001
404,15,0.48671860453448873,Starting in 2001
405,16,0.5039717253973678,Starting in 2001
406,16,0.5134838118188348,Starting in 2001
407,16,0.5381086669995199,Starting in 2001
410,16,0.5131352769981813,Starting in 2001
411,15,0.4685438435550435,Starting in 2001
412,15,0.5182583011073407,Starting in 2001
413,14,0.5317961478397001,Starting in 2001
414,14,0.5057208433795969,Starting in 2001
417,15,0.5522559792946277,Starting in 2001
418,15,0.5225418643515561,Starting in 2001
419,16,0.5109045287526831,Starting in 2001
420,14,0.46699839400152127,Starting in 2001
421,13,0.4981523554403509,Starting in 2001
424,16,0.46528385153581286,Starting in 2001
425,15,0.4571906969015598,Starting in 2001
426,14,0.451038484262389,Starting in 2001
427,15,0.49175027537697735,Starting in 2001
428,15,0.49751381890355634,Starting in 2001
431,13,0.4789993576356705,Starting in 2001
432,13,0.5005957988698606,Starting in 2001
433,15,0.4692280895257661,Starting in 2001
434,14,0.4960666717863054,Starting in 2001
435,14,0.4909302394434472,Starting in 2001
438,15,0.4848883032891867,Starting in 2001
439,15,0.4862698153631721,Starting in 2001
440,14,0.48962449168433475,Starting in 2001
441,15,0.45907878771876814,Starting in 2001
442,15,0.46153186961104536,Starting in 2001
445,14,0.49200936402238815,Starting in 2001
446,14,0.5061302768486172,Starting in 2001
447,15,0.5268601965101053,Starting in 2001
448,15,0.5517759207021152,Starting in 2001
449,16,0.5477724778591938,Starting in 2001
452,16,0.541930865055682,Starting in 2001
453,15,0.5405090193512045,Starting in 2001
454,16,0.5584590965325926,Starting in 2001
455,16,0.5693485861052083,Starting in 2001
456,14,0.5913694759985992,Starting in 2001
459,16,0.5837419699661831,Starting in 2001
460,15,0.501073846852937,Starting in 2001
461,14,0.545222759193761,Starting in 2001
462,13,0.5350916528250806,Starting in 2001
463,12,0.538545494828431,Starting in 2001
466,14,0.5223538756710546,Starting in 2001
467,15,0.5095291944530761,Starting in 2001
