days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
221,NA,0.6503380874224939,0.6359639843903057,0.2515487740266032,0.4894710291348448,0.4111357102727382,0.4111357102727382
222,NA,0.6517187671453105,0.6375047394100688,0.2790833208918084,0.4894710291348448,0.45613865463718545,0.45613865463718545
223,NA,0.6530994468681272,0.6390433676652886,0.2722656266012497,0.4894710291348448,0.4449956959985765,0.4449956959985765
224,NA,0.6544801265909438,0.6405798709485899,0.2751153604189732,0.4894710291348448,0.44965335072884405,0.44965335072884405
225,NA,0.6558608063137605,0.6421142510525978,0.27866710811084033,0.4894710291348448,0.45545838919764975,0.45545838919764975
226,NA,0.6572414860365772,0.6436465097699374,NA,0.4894710291348448,NA,0.6572414860365772
227,NA,0.6586221657593938,0.6451766488932338,NA,0.4894710291348448,NA,0.6586221657593938
228,NA,0.6600028454822104,0.6467046702151124,0.28131070773384076,0.4894710291348448,0.4597791345993509,0.4597791345993509
229,NA,0.6613835252050271,0.6482305755281977,0.24061219995925312,0.4894710291348448,0.3932607825791735,0.3932607825791735
230,NA,0.6627642049278437,0.6497543666251152,0.2907871091660425,0.4894710291348448,0.47526753063202576,0.47526753063202576
231,NA,0.6641448846506603,0.65127604529849,0.2824253219879535,0.4894710291348448,0.46160087960613155,0.46160087960613155
232,NA,0.665525564373477,0.652795613340947,0.225316017389594,0.4894710291348448,0.3682604345966658,0.3682604345966658
233,NA,0.6669062440962937,0.6543130725451115,NA,0.4894710291348448,NA,0.6669062440962937
234,NA,0.6682869238191104,0.6558284247036084,NA,0.4894710291348448,NA,0.6682869238191104
235,NA,0.669667603541927,0.6573416716090628,0.24004860618910898,0.4894710291348448,0.3923396350765067,0.3923396350765067
236,NA,0.6710482832647436,0.6588528150541,0.2929057015491522,0.4894710291348448,0.4787301950301281,0.4787301950301281
237,NA,0.6724289629875603,0.6603618568313449,0.27287245188915776,0.4894710291348448,0.4459875018490362,0.4459875018490362
238,NA,0.6738096427103769,0.6618687987334227,0.2699044969984757,0.4894710291348448,0.4411366245320631,0.4411366245320631
239,NA,0.6751903224331935,0.6633736425529583,0.29042784531331434,0.4894710291348448,0.47468034351557775,0.47468034351557775
240,NA,0.6765710021560103,0.664876390082577,NA,0.4894710291348448,NA,0.6765710021560103
241,NA,0.6779516818788269,0.6663770431149039,NA,0.4894710291348448,NA,0.6779516818788269
242,NA,0.6793323616016436,0.6678756034425639,0.26430332952878316,0.4894710291348448,0.4319819785795249,0.4319819785795249
243,NA,0.6807130413244602,0.6693720728581822,0.24738296896378004,0.4894710291348448,0.4043270457106107,0.4043270457106107
244,NA,0.6820937210472768,0.6708664531543842,0.3013276179398974,0.4894710291348448,0.4924951222915126,0.4924951222915126
245,NA,0.6834744007700935,0.6723587461237943,0.2633845640340926,0.4894710291348448,0.43048033220619075,0.43048033220619075
246,NA,0.6848550804929101,0.6738489535590383,0.27549349659595795,0.4894710291348448,0.45027138310171494,0.45027138310171494
247,NA,0.6862357602157269,0.6753370772527408,NA,0.4894710291348448,NA,0.6862357602157269
248,NA,0.6876164399385435,0.6768231189975271,NA,0.4894710291348448,NA,0.6876164399385435
249,NA,0.6889971196613601,0.6783070805860225,0.2497298540423233,0.4894710291348448,0.4081628356779008,0.4081628356779008
250,NA,0.6903777993841768,0.6797889638108515,0.2280752799698673,0.4894710291348448,0.37277022155611117,0.37277022155611117
251,NA,0.6917584791069934,0.6812687704646397,0.20663978319771867,0.4894710291348448,0.33773567120074244,0.33773567120074244
252,NA,0.69313915882981,0.6827465023400121,0.23325951213187535,0.4894710291348448,0.38124342115882737,0.38124342115882737
253,NA,0.6945198385526267,0.6842221612295936,0.22216869394995342,0.4894710291348448,0.36311639419010106,0.36311639419010106
254,NA,0.6959005182754433,0.6856957489260095,NA,0.4894710291348448,NA,0.6959005182754433
255,NA,0.6972811979982599,0.6871672672218849,NA,0.4894710291348448,NA,0.6972811979982599
